Vehicle_Reference,Vehicle_Type,Vehicle_Manoeuvre,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Survival
1,9,18,4,0,0,1,6,1,30,1242,1,3,0
2,9,9,8,0,0,1,6,2,39,-1,-1,-1,0
3,9,18,4,0,0,1,6,3,-1,-1,-1,-1,1
1,9,18,2,0,0,1,6,1,30,-1,-1,-1,0
1,9,18,0,0,0,1,2,1,32,1686,2,13,1
1,9,18,1,0,0,1,1,2,34,1329,1,3,1
2,5,18,1,0,0,1,1,1,30,498,1,14,1
1,9,9,8,0,0,1,6,2,73,2962,1,16,0
2,1,18,8,0,0,1,6,1,46,-1,-1,-1,1
3,3,7,1,0,0,1,6,3,30,-1,-1,-1,1
1,9,9,8,0,0,1,6,3,-1,-1,-1,-1,1
2,1,18,8,0,0,1,6,1,26,-1,-1,-1,1
1,9,18,8,0,0,1,6,3,-1,1984,1,9,1
1,9,9,6,0,0,1,6,1,29,998,1,11,1
2,9,18,8,0,0,1,6,1,25,999,1,16,0
1,90,9,8,0,0,1,4,1,24,-1,-1,-1,0
2,1,18,8,0,0,1,6,1,33,-1,-1,-1,0
1,5,18,0,1,10,1,6,1,22,600,1,12,1
1,9,18,0,0,0,1,2,2,18,998,1,16,1
1,9,9,6,0,0,1,6,1,25,1995,2,5,1
1,9,6,8,0,0,1,6,1,25,1995,2,2,1
2,9,18,8,0,0,1,6,1,36,1896,2,8,0
1,9,18,1,0,0,1,2,2,41,1997,2,12,0
1,9,9,8,0,0,1,6,1,40,2494,2,13,1
2,8,18,8,0,0,1,1,1,43,-1,-1,-1,0
1,9,18,2,0,0,1,6,3,-1,-1,-1,-1,1
2,1,18,2,0,0,1,6,1,43,-1,-1,-1,1
1,9,18,1,0,0,1,6,1,69,999,1,5,1
